star,rating,discount,price,brand,storage,processor
4.2,50094,20% off,9999,MOTOROLA g35 5G,128 GB,Unisoc
4.5,58286,22% off,13999,vivo T4x 5G,128 GB,Mediatek
4.3,166171,20% off,11999,Motorola g45 5G,128 GB,Snapdragon
4.2,51771,37% off,6249,Samsung Galaxy F05,64 GB,Mediatek
4.5,58286,22% off,13999,vivo T4x 5G,128 GB,Mediatek
4.4,73784,21% off,17999,Motorola G85 5G,256 GB,Snapdragon
4.3,166171,20% off,11999,Motorola g45 5G,128 GB,Snapdragon
4.3,30632,27% off,7299,MOTOROLA g05,64 GB,Mediatek
4.5,40845,19% off,16999,vivo T4x 5G,256 GB,Mediatek
4.3,59361,30% off,7699,POCO C75 5G,64 GB,Snapdragon
4.6,22515,11% off,22999,MOTOROLA Edge 60 Fusion 5G,256 GB,Mediatek
4.2,50094,20% off,9999,MOTOROLA g35 5G,128 GB,Unisoc
4.3,31383,36% off,13999,Infinix Note 40X 5G,256 GB,Mediatek
4.2,2842,25% off,10499,POCO M7 5G,128 GB,Snapdragon
4.5,118767,26% off,18999,Motorola Edge 50 Fusion,128 GB,Snapdragon
4.4,192201,23% off,15999,Motorola G85 5G,128 GB,Snapdragon
4.3,954,27% off,6499,REDMI A5,64 GB,Unisoc
4.1,5976,40% off,5999,REDMI A3X,64 GB,Unisoc
4.3,59361,30% off,7699,POCO C75 5G,64 GB,Snapdragon
4.5,173829,23% off,12999,OPPO K12x 5G,128 GB,Mediatek
4.2,50094,20% off,9999,MOTOROLA g35 5G,128 GB,Unisoc
4.5,58286,22% off,13999,vivo T4x 5G,128 GB,Mediatek
4.3,166171,20% off,11999,Motorola g45 5G,128 GB,Snapdragon
4.2,51771,37% off,6249,Samsung Galaxy F05,64 GB,Mediatek
4.5,58286,22% off,13999,vivo T4x 5G,128 GB,Mediatek
4.4,73784,21% off,17999,Motorola G85 5G,256 GB,Snapdragon
4.3,166171,20% off,11999,Motorola g45 5G,128 GB,Snapdragon
4.3,30632,27% off,7299,MOTOROLA g05,64 GB,Mediatek
4.5,40845,19% off,16999,vivo T4x 5G,256 GB,Mediatek
4.3,59361,30% off,7699,POCO C75 5G,64 GB,Snapdragon
4.6,22515,11% off,22999,MOTOROLA Edge 60 Fusion 5G,256 GB,Mediatek
4.2,50094,20% off,9999,MOTOROLA g35 5G,128 GB,Unisoc
4.3,31383,36% off,13999,Infinix Note 40X 5G,256 GB,Mediatek
4.2,2842,25% off,10499,POCO M7 5G,128 GB,Snapdragon
4.5,118767,26% off,18999,Motorola Edge 50 Fusion,128 GB,Snapdragon
4.4,192201,23% off,15999,Motorola G85 5G,128 GB,Snapdragon
4.3,954,27% off,6499,REDMI A5,64 GB,Unisoc
4.1,5976,40% off,5999,REDMI A3X,64 GB,Unisoc
4.3,59361,30% off,7699,POCO C75 5G,64 GB,Snapdragon
4.5,173829,23% off,12999,OPPO K12x 5G,128 GB,Mediatek
4.5,40845,19% off,16999,vivo T4x 5G,256 GB,Mediatek
4.1,15582,26% off,9499,POCO M7 5G,128 GB,Snapdragon
4.5,19984,14% off,23999,vivo T4 5G,256 GB,Snapdragon
4.5,40845,23% off,14999,vivo T4x 5G,128 GB,Mediatek
4.5,19984,15% off,21999,vivo T4 5G,128 GB,Snapdragon
4.3,30632,27% off,7299,MOTOROLA g05,64 GB,Mediatek
4.1,5976,40% off,5999,REDMI A3X,64 GB,Unisoc
4.5,9667,20% off,19999,OPPO K13 5G,256 GB,Snapdragon
4.4,16294,25% off,8199,realme C61,128 GB,Unisoc
4.3,954,27% off,6499,REDMI A5,64 GB,Unisoc
4.4,192201,23% off,15999,Motorola G85 5G,128 GB,Snapdragon
4.2,50094,20% off,9999,MOTOROLA g35 5G,128 GB,Unisoc
